Day,Open,High,Low,Close,Adj Close,Volume
1738,157.729996,159.630005,155.710007,156.809998,129.544083,4771000
1739,157,158.380005,156.25,156.960007,129.667984,3298400
1740,157.990005,159.880005,156.919998,158.119995,130.626328,3979800
1741,158.119995,161.360001,158.119995,161,133.005524,5088800
1742,160.5,161.919998,160,160.75,132.798981,4191500
1743,160.070007,162.070007,160.070007,162.039993,133.8647,4180900
1744,162.039993,163.160004,159.889999,161.020004,133.022049,4964100
1745,162.5,164.050003,161.449997,162.460007,134.211716,4470700
1746,163,163.300003,158.509995,159.149994,131.477219,4962800
1747,159.630005,160.300003,158.399994,159.520004,131.782852,3404000
1748,158.449997,159.690002,158.199997,159.429993,131.708527,2217100
1749,160.25,163.210007,160,161.940002,133.782089,3381700
1750,162.75,166.179993,161.320007,165.550003,136.764328,4828300
1751,164.550003,167.570007,163.600006,167.050003,138.00354,4670400
1752,166.059998,169.309998,166.059998,168.550003,139.242722,4893900
1753,168.619995,168.660004,165.320007,165.889999,137.330444,3591500
1754,165.5,166.270004,163.5,165.350006,136.883392,3431400
1755,165.350006,165.600006,161.759995,162.800003,134.772446,3361400
1756,163.5,164.649994,162.199997,163.399994,135.269073,3032600
1757,163.350006,165.789993,162.100006,163.970001,135.740936,4063900
1758,163.809998,164.889999,158.649994,160.289993,132.694443,5349000
1759,160.300003,161.669998,156.080002,156.449997,129.51564,5652300
1760,157.600006,160,157.119995,158.830002,131.48584,3710700
1761,159.5,159.850006,157.75,159.149994,131.750809,2521000
1762,159.160004,160.330002,158,158.039993,130.831833,2554600
1763,159.75,164.600006,159.690002,164.389999,136.088684,3737500
1764,164.389999,166.550003,162.199997,163.529999,135.37677,2395700
1765,163.75,166.259995,163.699997,165.75,137.214523,2615300
1766,164.850006,165.410004,162.050003,164.089996,135.840332,3215800
1767,164.380005,164.490005,158.600006,159.279999,131.858444,3639600
1768,158.75,159.699997,156.070007,156.110001,129.234146,4579300
1769,154.600006,157,151.110001,153.139999,126.775482,6119200
1770,153.600006,155.110001,150.619995,152.699997,126.411217,4016000
1771,150.850006,151.149994,147,148.210007,122.694237,7477600
1772,149.360001,150.25,146.25,147.029999,121.717339,6076200
1773,148.300003,150.449997,146.75,149.410004,123.687614,6502500
1774,148.509995,148.509995,143.339996,146.149994,120.988853,8472600
1775,148.050003,148.880005,143.699997,143.699997,118.960632,5606600
1776,143.649994,145.589996,140.419998,143.919998,119.142792,8759600
1777,145.199997,147.320007,144.679993,147.320007,121.957443,5611300
1778,150,152.940002,149.470001,152.940002,126.609909,5749700
1779,151,151.949997,149.25,149.830002,124.035294,5217200
1780,151.300003,152.389999,149.149994,150.949997,124.962479,5262200
1781,150.919998,153.589996,150.190002,153.550003,127.114876,4206200
1782,155.5,157,153.600006,154.089996,127.561905,4253400
1783,154.949997,156.289993,149.850006,150.399994,124.507118,5400000
1784,151.389999,152.059998,147.5,149.240005,123.54689,6562400
1785,149.25,152.529999,148.300003,149.949997,124.134666,4319900
1786,148.800003,150.669998,144.5,149.759995,123.977356,7885500
1787,151,152.100006,148.990005,149.889999,124.084961,4407300
1788,150.300003,150.720001,145,145,120.036858,5860300
